conversation_id,emotion_response_sentence
1004565043.txt,</p> My mom is demanding and I know that Doreen is going to be upset if I don't now because - but not because she likes me but because she wants to be in control.
1004687718.txt,"[00:14:40] (Pause) And just wanting to have control, wanting to feel like I can do something that will make me feel better."
1004687718.txt,I mean I haven't ever had a life in which I didn't feel it was of utmost importance to manage my feelings pretty strictly.
1004687718.txt,[00:41:34] (Pause) And (pause) I find that I can't deal with people who are sad all the time.
1004478012.txt,"(inaudible at 00:12:59) or one that I don't know how to deal with at the moment, and then being upset and me feeling like have to make an answer or make a decision."
1004478012.txt,"And I know I'm upset about or am upset about whatever we're having the conversation, but then I'm upset of how he, like, handled the conversation, or he made me feel about initiating the conversation, every other kind of low blow I guess that you threw in."
1004478012.txt,"I feel like I shouldn't feel bad and then, I don't know, I feel like, I don't know, kind of like the way they communicate and everything kind of just sucks, so then I feel a little bad that I'm in that situation."
1004478012.txt,"And I don't know, just — I don't know, and then I feel like they're both kind of like — or I can be like them in the sense where, like, if you don't hear anything everything may be fine, or like, as long as I, like, seem happy that, you know, I'm happy and they don't have to deal with any problems that may have happened in the past."
1004513658.txt,"</p> Yes, I guess at this point - you know, if I hadn't gotten the second Masters then I would still have money to get a second Masters and then I could - like if I was going to be second Masters in something useful but -</p> It might be eventually, but eventually isn't going to make me feel better now about spending all this money going out to eat that I shouldn't and I don't feel in control of that."
1004798837.txt,"Yesterday I got so out-of-control frustrated when I was getting dressed for work because I realized I've been wearing the same work clothes during the winter, like the same pants and bullshit for like three or four years."
1003269452.txt,But I think it has been helping me deal with those things too because I didn't get as crazy as I feel like I would have before.
1004513664.txt,"this is what I'm control of, this is what I can control and I feel I have no control over it."
1004513664.txt,I feel like you know my life is controlled by other people.
1004687650.txt,"Um, and then it like ran away again, and then I finally managed to catch it with my hands and I was really afraid it was going to bite my hands."
1004687644.txt,I felt like I couldn't cope with doing anything.
1004687644.txt,"7) I thought it was is that how it feels, really different from sort of trying to avoid like being upset?"
1000060940.txt,"Plus having gone through it a couple of times in the little circle I feel like I'm aware enough of how things happen or what could happen, that I could avoid having it happen."
1000060940.txt,"Like I felt myself in this kind of position several times in different ways but this is the say the first time I felt that I could do it financially, that I could do it that I feel like just capable of continuing everything like no doubt another twenty years from now if I manage my first million and I'm sitting off in a mountain home somewhere with another one down in Acapulco I'll think well now I'm ready."
1004564995.txt,"</p> Um, at the same time, I've just [pauses] — I feel as though — I feel as though money is something that I cannot predict, I cannot control."
1004564995.txt,"[slaps surface] and then I feel like I'm [slaps surface] never going to be good enough at, and I feel like I — I have no [becomes emotional] control over, and [shifts in seat] - you know."
1000133840.txt,I don't think I'm at point where I can deal with it and be comfortable about it and feel completely good about it.
1004824723.txt,"</p> No, it's, um, I mean I realize that my suppressed sexuality probably has something to do with this, but I feel like I'm overcoming that a little bit, um, (pause for ."
1004824723.txt,""" Well ignoring that—I feel like that is important to me—someone to understand me emotionally."
1004824737.txt,"It's making me finally really take control of how I want things to go instead of just letting things unfold in some random—you know, and then feeling like, ""Why am I not able to ."
1004824735.txt,"And I -</p> —I mean, not serious, but normally, I don't break out say on my arms or -</p> —and you know, it's crazy because I just sort of—I sort of realized that anxiety is like something—it's really internal and like it really—I mean, even though I don't worry about stupid stuff -</p> —the anxiety is, you know—like I really see that it's good that I'm trying to learn how to manage it because it's—you know, it really affects my body -</p> —and it probably would affect most people's bodies."
1004824735.txt,""" And so there's—you know, I—I sort of realized—I'm starting to realize how to sort of manage these things and not feel burned out."
1004564997.txt,"Um, [pauses for five seconds] yeah, and then [sighs] having said, ""OK, I'm not going to hurt myself anymore,"" um, then it was a real struggle because, eh, hurting myself helps me deal with being angry at myself, helps me get that out, and it doesn't — but [sighs] so it is kind of a test of will, sort of — you know, can I just deal with being this angry at myself, you know, kind of just there."
1004564983.txt,But (pause) it's constantly like that and I feel like I'm just very unable to cope with the changes that are happening.
1004798799.txt,"""</p> And that was really eye-opening and made me feel a lot more in control of my treatment process."
1004798799.txt,But it's just—it's t just really like if it—I need to feel control over my life and it gets—and it's—you're right.
1004798941.txt,I need to deal with the stress.
1004600932.txt,"Um, but Sadie was—stayed for a nap and went [through the first time] (ph) yesterday, and she was so tired and so out of control with her emotions [slaps hand in lap] that it almost made me a little uncomfortable, like, because she [pauses] just couldn't process or handle anything."
1000076649.txt,"It's been like I was - that just really frightened me, sort of, really, really scared me, because then, you know, I figured I wouldn't know how to handle it, and secondly, I wouldn't - oh, God, I wouldn't know how to help [anyone with] (ph) their problems."
1000076649.txt,"I know I do it, but I really don't know how to handle - so I decided I had to write that down, sort of, you know."
1004798835.txt,"I just want to kind of get a better handle on my reactions to things and how I'm feeling with things, and not rely so much on thinking what other people's opinions or people's thoughts about it—more relying on my own feelings and instincts, I think, is important, too."
1000013370.txt,"Or do I feel like, you know, I have a real good handle on them?"
1000013416.txt,"that it's not like I feel like I've been avoiding it on the one hand, but."
1004532482.txt,"But like for that, it was like I felt even out of control of like, what would I do for breakfast."
1000094545.txt,</p> I have decided that I really feel that it was interesting what you said on the phone and how it is very common for people to sort of feel that the problems that they had or the issues that they needed to deal with at the beginning of therapy have either somewhat been resolved or other ones come into play and stuff.
1000094545.txt,"Now that I feel comfortable with those things that I set out to sort of deal with by coming in here, I feel that I have a control over them."
1000094545.txt,I know how to handle them or I am not afraid of them.
1000061043.txt,"Some girl that I haven't seen since the summer of '69 when I lived in Washington for about three months called me up from New York and said she was on her way back from Germany and she had a one hour layover at LaGuardia at 1:00 in the morning so I went down and managed to get to bed about 10:30, had my alarm set for midnight and Josh and I went out there."
1004538622.txt,"</p> It would take a long time, and it's like to this day, I still feel like I don't want to have another all-night discussion of absolutely nothing ever again 'cause it's just more than I can handle."
1004538622.txt,"</p> And I resent that I had to - really resent that I had to play the game of like jailer to prove that this was the way it was and then had to be the crazy controlling wife, after being - the fact that I had to go chase this down and then had to be pigeon-holed as - as being the person who's trying to like check up on him."
1004538622.txt,I'm really - I am more angry with the practitioner that he was with at the time that handled - [00:41:37]</p> Yeah.
1000122152.txt,Like I'm too afraid to deal with my life that I would kill myself.
1000122147.txt,"So that you really feel that this is the time for you, and I think you're lack of control is something."
1004824683.txt,"I can be kind of like, ""Oh, God,"" but then again I kind of feel like I didn't know what was going on and I couldn't have avoided the mistakes that I made."
1004532468.txt,Like I feel like all the antianxiety pills that aren't part of SSRIs are like in that class of controlled.
1000133937.txt,</p> So I shouldn't feel like that.
1000013629.txt,"I don't know, that might be-sometimes this might be fanciful construction because it's-I don't know if my father will ever-I know things will be out of his control but-I just don't see him ever not being in any kind of -and feeling kind of-</p> Well, I think-yeah-it's never going to arise, but I feel ticked about it so I can worry about it later."
1003269451.txt,"5)</p> It's just that I just feel like I know so well like, number one I should be able to control my anger in situation, certain situations."
1000060758.txt,"It was more, it was less active and harder to deal with because it turned to bitterness and soured already, you know, and that really upset me."
1004564969.txt,I'm just saying I'm not sure I can handle the stress.
1004564979.txt,""" But — because I'd been screened and trained as one years ago, but, um, to be honest, I don't because the personalities that are down — yeah, I'm looking for a job, basically, so I'll say just about anything, but, um, having had to deal with a lot of people of those personalities, it is different."
1000094385.txt,"I'm feeling bad, so -"" And now in university, it is the same; but I'm controlling a little more."
1004687694.txt,"I know I have to (inaudible to 00:21:00) but it's hard for me to see how all of it, individual things that I am doing to deal with impending joblessness and homelessness and lack of insurance, are going to actually get me to a place where I feel secure."
1004687680.txt,</p> But back then it's because of the fact that I just didn't feel comfortable being out in public anymore than I had to because I was like always under this too abrasive eye (ph) that if something got back to me—got back about something that I did that I'd have to deal with it.
1004538592.txt,"When we do have small problems or disagreements or, you know, like emotional terribleness going on, about three quarters of the time, it's because he can't cope with my depression, and like it's - I don't know."
1004538592.txt,"</p> Then, if that's the case, then I guess I don't feel wonder like how long is Dave going to have to deal with my fears and mistrust because of my father's sins."
1004798777.txt,"Right now if I won the lottery, I would probably go to sleep and cry because of the stress with having to deal with all the red tape."
1004798777.txt,"I can't eat until things are cleaned up, not because I get anxiety over it, just because afterwards I'm going to deal with the consequences."
1000016543.txt,</p> You know that I don't allow myself to feel.
1000013413.txt,"Here, it's like as soon as I'll allow myself to feel it, it's okay."
1000013413.txt,"I think because of, you know, being nervous and knowing that I DO avoid things and WILL put on a show."
1000013413.txt,"and it doesn't need to be, because me thinking that it will makes me nervous, which is good - nerves are good because then I can work on it, control it, so ."
1004503114.txt,And even when I do manage to carve time out for self-care and leisure it's not because I think I deserve but because I feel like it would make me able to work more effectively.
1000061052.txt,"Oh yeah, my girlfriend, she said that she was surprised how I handled the whole thing and she's kind of semi living with her boyfriend now and she keeps saying she'd like to have a baby and I know I kind of feel wise about the whole thing."
1000061052.txt,"She was basically worried about the tag 'illegitimate' and I just-I wonder about it a lot, too, and think I told her that I have to, right now, I have to kind of prepare my mind and Seth's mind-kind of like two to nothing isn't going to make that much difference to us, but if anybody else ever says anything to him, you know, if they even know or anything I guess you have to prepare him to handle things as he grows up."
1000061052.txt,I always felt like she was trying to control me and it used to bother the heck out of me.
1000372082.txt,"I mean, the fantastic thing about him is that he has been (inaudible 36:22) in a bad way and it upsets you and I'm going to make an effort to control these (inaudible 36:34)."
1000372082.txt,"And though this fault of his upsets me a great deal - and intellectually and theoretically upsets me in terms of deductions I make from it - behaviorally I stay with it, so I should stop upsetting myself."
1000061046.txt,"Josh's not going, so I would feel like I would be imposing to stay with his folks."
1004538626.txt,(pause) But it is good to feel like I've made a decision and taken some control.
1004538626.txt,"(pause) I guess the thing I'm anxious about (pause) is that in some ways this is pretty typical of me, to get myself in the situation where the work that I'm doing is more than I can handle, and I have to stretch myself thinner and thinner and thinner and thinner, and finally it's just like, ""No, I'm done"", and walk away, and have that be it."
1000061047.txt,"I can seldom I manage that much willpower, it's kinda shame to see it shot down."
1000061053.txt,I never-yeah-I don't know if I-I didn't have the incentive to stay with them or I just went on to something else or I felt if I did stay with it I wouldn't get it or I'd fail or something.
1000061053.txt,But I have always had this fear of being controlled by them.
1004538632.txt,"[23:00]</p> And I think that's part of why I have such knee-jerk reactions to things in my life, is because I don't really feel equipped to - I don't feel equipped with a way to handle it other than just acting on my emotions."
1000013374.txt,"So I was talking to one of the management staff and he's like you should definitely, you know, not be afraid to assert yourself on what your complaints are, and everyone just talking."
1004824679.txt,""" [00:36:35] She seemed very like ""I don't have to worry about Seth having health problems and that because he's married and has this wife who will deal with that."
1004532486.txt,"[00:02:40] And so - and then I would see him a couple of times in the house (this was like a couple of days ago), but I — I was just like so angry that I didn't feel like I could talk to him then I guess, and then he - I guess he took that as avoidance, and he sent me these series of really angry e-mails about chores and stuff."
1004532486.txt,"But I guess I'm also worried because like when we had the rat talk, we also had the my mom is gonna stay with us for graduation talk, and so - and I - I sent this e-mail out and I was like, ""I realize this is a lot to ask, and I totally - I realize that asking this might put some of you guys in an uncomfortable position, but like - please don't feel like you have to say yes."
1004565051.txt,I'm kind of going crazy but I don't want to burden him with that because he already feels bad enough as it is and he's trying to deal with his stressful things in his life so I don't want to make things worse.
1004687736.txt,"I'm less anxious right now, but that's the next thing on the list that I have to deal with."
1004687736.txt,"It's as though referring to it is a way to bring it up for just a second and then move over it back down again and say, ""Well, I've already dealt with that."
1004687722.txt,And I feel like the worse I get the more I'm kind of frantic and not in control and but the things I need are so much less able to be—people just can't get them.
1004687722.txt,"Anyway where I was going with this was that it's harder for me, I was thinking about it this morning, it's harder for me to have James feel like he's failed me than it is for him to actually fail me, or for me to deal with that."
1004798825.txt,"</p> I feel like ignoring it, so I don't really want to talk about it because it's just like it goes up and down, up and down and when it's like in the middle or up, I don't really pay much attention to it."
1004687656.txt,between everything else he's just having breakdown over the littlest things and I feel tremendously bad for him because he's just not coping with it well.
1004600922.txt,"And every time I go to try and take control of it it gets taken away by something being thrown at me where, you know, my guilty conscience comes in and I'll end up going and my decision to be firm and to be tough and to be my own person goes away."
1004564993.txt,</p> So it's like this — I'm better at feeling like I can handle it now.
1004564993.txt,And he thinks that if he explains to me how I shouldn't feel this way then maybe I won't feel this way.
1000094390.txt,"(getting emotional)</p> That I'm like still dealing with this, the same issues that I feel like I've always dealt with."
1004824731.txt,"</p> And I guess I sort of felt like -</p> Yeah, I don't feel like—and I guess because when I was a youngster, I was kind of ignored in dance because I had low arches, and I guess if you have like—if you have low arches, then you have to compensate with flexibility or you have to compensate with -</p> —your parents donating money."
1000133850.txt,I shouldn't feel guilty about it but.
1004824733.txt,"Yeah, and I guess that's why I remember Jeremy was—he used to try and control me -</p> —when I was in situations with his family because he was nervous about how his -</p> —family was going to react and you know, and he wanted only positive things, you know."
1000094392.txt,"And this kind of anxiety, I can't control."
1004564985.txt,I've just been avoiding (audio gap at 00:04:44) until because I feel like you have to choose between James and Ashley (ph).
1004600920.txt,"I know that I would have out of control - I'm not having, I've started reworking [on the train] (ph) and I started to have an anxiety attack just because I hate the train, I don't know why."
1000056548.txt,"And then today: I sat through all of today and I wanted to call basically because I felt real bad about it but also just because I have this way of dealing with messes, which is to avoid them."
1000056548.txt,Maybe that is why it is so hard to let myself feel icky.
1000053430.txt,"And that's when I, I start to feel really uncomfortable because I feel like I'm losing control."
1000053430.txt,</p> So I quit reading it because I felt like I was losing a certain sense of control.
1003269456.txt,"And I know that this is a possibility but it's just like once you're in this situation and you kind of don't know the best way to handle it, you start to feel like, ""OK, I don't know what ."
1003269456.txt,Because I just feel like how do you control 30 wild kids?
1003269456.txt,"And because I can't control the way you think about it, I start feeling bad about it."
1004687734.txt,(crying) (pause) [00:17:46] He makes me feel like my world is just completely out of control—everything in it.
1004687708.txt,"(pause) I avoid people because it, I feel like they think of me as somebody who is a part of their world and I don't feel like I can live up to that anymore."
1004687708.txt,"I tell them at one point in the evening, and (inaudible) that puts like such a burden on the other person because they don't know how to react and they have to like, you can kind of see people like feeling their way and like ""How does she want me to handle this?"
1004687708.txt,"I need to feel like I have control, inaudible through crying) that I need."
1000133930.txt,I just feel like I shouldn't feel those things.
1000017886.txt,"And yet, she would put me in a position where in July, she would leave, not worrying if I didn't have a place to go, ""Well, you could stay with my mother."
1000017886.txt,"she says I shouldn't feel second-rate and I say I shouldn't feel second-rate, but yeah, it's always like saying, ""I do one better."
1000016540.txt,"Okay, I consider certain people mature people, and when they are angry - I guess when I think of anger I think of kind of almost losing some control, you know, and."
1004532484.txt,"</p> Like all I need to do is, cuz like the thing is like I've often been in Sydney' place and I have like almost everything at both of our places, like other than like I only have one packet of birth control pills because I don't want to keep, like lose track of where I am, so that I have to like keep in my backpack where I go, and like the vitamin like B and D like didn't feel as important, so I didn't feel like oh, I should get a thing of vitamin B and a thing of vitamin D to keep at Sydney' place, so I haven't been taking them as much, but I really should."
1004538618.txt,"I mean I've done a lot of self-indoctrination in my life where I've had to deal with things that were very upsetting and have to change how I react to them and so I don't really know the beginning with this one, but I don't know, ya know."
1004538624.txt,"You know, my like concentration, my like feeling okay about myself, my, you know, feeling in control of the situation at all, just kind of (makes sound to illustrate flying off/away)."
1004538624.txt,"</p> (Voice shaky and getting upset) Sorry, I'm not - I don't - I don't have a good handle on like a thread to pull right now to - it's just - I just feel really bad, and I don't have a way to - to pick it apart that is easy for me, so I'm down to doing a step ."
1004538630.txt,"</p> No, it's more like I hadn't told her that I didn't feel like she handled that very well, so I can't let go of it."
1000061051.txt,"</p> Because I've always felt that people were always trying to tell me things do things and in college my roommate, well I had this-we were friends in junior college and she was my roommate I guess second year and I always felt like she was trying to control me and it used to bother the heck out of me."
1004488859.txt,"And it's just so unbearably upsetting to have to deal with people like that, that I just don't ever want to be one of those people."
1004488859.txt,"So, it's just a matter of sort of finding a balance I guess, between feeling like I'm not a victim constantly, because it's very easy to get super passive for me on this, because there's certain types of pain that I'm just extremely vulnerable to, and some things I can sort of ignore and keep going."
1004488859.txt,"And I've been sort of avoiding going on the boat, because I've been concerned about mostly not being able to do things that I need to do, to be on the boat, but I think that when we go down in April, I'm going to just suck it up and just be a good camper and see if I have a good time."
1000017878.txt,And I shouldn't feel that way.
1000061044.txt,I was so uptight I went down and went to sleep: I don't know how I managed it but it's like that was the only way out.
1000013411.txt,"</p> I guess because it's - I don't know how to really explain it, but you know, it's like I come in, it's like feeling my tap shoe, and my thing for you, and I'm avoiding whatever it is that I'm avoiding or maybe I'm not."
1000013411.txt,"And so if I get pissed off at you it's - or because then I can't stay with where I'm at, I can't stay on stage, and I've got to go back downstairs in the dressing room, keep preparing."
1000013411.txt,"So but if so I came in this morning and did that and go, ""Well, no, this is how I am feeling, I'm not avoiding anything so (inaudible at 33:37)."
1000013411.txt,""" And I think because of being nervous and knowing that I do avoid things and will put on a show."
1000013411.txt,"Try and sit with kids, because whenever I get nervous I look at their eyes, and they're just, wow."
1004798749.txt,"But since it's not happening, I feel like all I can do is (pause) medicate it by just avoiding crap."
1004798775.txt,"(pause) If I don't really need to do something, I won't deal with it anymore, just because of the stress levels of everything."
1004687696.txt,Yeah I mean I don't like that I want him with me more when I feel like I can deal with the necessities of my life less.
1004687696.txt,I kind of alternate between feeling as though it's entirely out of my control and in some ways that makes me feel better because then it's not my fault that I'm in this position.
1004687696.txt,"So trying to kind of say, ""Well I feel like I don't have any control but I do actually have control."
1000094387.txt,</p> It makes me feel like more - if feels - I feel like better about myself like controlling that.
1000133892.txt,"Now I've heard - ""Oh, she"" - you know, ""She likes me"" or ""She's spying on me"" or he could figure out everything that I'm thinking and that I feel that he can handle me."
1000133892.txt,And I feel that the sophisticated person never allows - is never manipulated by someone else emotionally - that they know how to deal with people.
1000013264.txt,"I sort of, the only way I think of to deal with say, what I felt is my boyfriend's rejection, was to say, ""Okay, the hell with you."
1000013264.txt,"6] There's somewhat of an element of threat to you in which you [never deal with anybody] (ph), and that just made you feel, I don't know, even worse."
1000094445.txt,"</p> I mean I do have, I do have, I feel more control in that - with my parents situation."
1004798935.txt,"I was—(emotional) and I was jealous of everyone else who didn't have to deal with that kind of shit, you know?"
1004798935.txt,03 seconds) it just makes me so angry to like have to deal with it.
1004798935.txt,"</p> Yeah and it was very, it was—yeah, it was—I don't know—it was like I was scared of being out of control (emotional) (laughs), um —</p> So yeah, that was -</p> (laughs) So, um, yeah I don't know."
1004687626.txt,"He only mentioned it because I was saying how my cousin Daniel, one of the reasons he hasn't managed his diabetes is because he's scared of needles, he's scared of tests, he's (inaudible at 00:12:16) scared of all that."
1004687626.txt,"And she was talking about how there's a really big difference and how she felt like, one thing that was really being addressed was that her building was closing and that was really stressful because, I mean, library's closing, everyone has to move, four people are retiring because they're like, fuck it I'm just, and two people have at least said that they do not want to deal with the library move."
1004687632.txt,"I mean, when I think about it, like if I'm doing it—if I'm sort of slicing and dicing, I feel like—in my head what I feel like I'm doing is trying to break it up into manageable chunks I can handle."
1000126022.txt,"I'm not, you know, I'm not sure of my feelings, I'm not sure about the control, I'm not sure about my emotions, and I guess I felt some tension last night."
1000126022.txt,""" And I -</p> Right and I said, I told him that, you know, about coming here and I said that I wasn't sure that, and I said that I went in with the intention that I, that I was troubled about my emotions and feeling them and understanding them, or just being able to deal with them."
1000126022.txt,And I was feeling good at being able to feel that and allow myself to express it.
1000126022.txt,And I began to feel like I'm not sure I want you to have to deal with that now.
1000126022.txt,"And I guess what I wanted to say too, is that I think that through this year and I think through our talking that I probably feel better about myself and can accept and deal with some of the things I have in the past felt somewhat inadequate about."
1000126022.txt,"</p> Yeah, I don't feel-</p> Yeah it's a difficult thing to deal with and I do feel much more comfortable about it, part of it is I feel much more comfortable with you, you know, I don't know what else goes into it."
1000013674.txt,"</p> Well it was really interesting how it-they call this a physical examination but it was just-I could just like all the, all the-how they would, not being really careful just because they wanted to deal with huge numbers of people."
1004565021.txt,""" I felt this need to take control in that way."
1000060895.txt,"Somehow eight hours, even when I wake up naturally and can't manage to get back to sleep, I still feel like I ought to be back to sleep."
1000060895.txt,"So I tried to ignore it and he started bouncing off the walls, around the walls so I went over and took my record off the record player, put it away, I didn't want it ruined, sat back down and was bent over with the thing in my lap bent over like this and he bounced one off right under my nose off the clipboard and back off to the left of me."
1004565009.txt,I was just going to talk to him about being stressed out and not really knowing what to do at some times and how to handle that.
1000013310.txt,"</p> If I had a problem although I don't feel like, I don't know how we would deal with it anyway."
1000013310.txt,"</p> Yeah that (inaudible 59:02) like a, you need to control something you know, you don't have to worry about whether your going to get your wishes met or whatever you know what I mean like."
1000094519.txt,But I kind of sense that you would feel that the reason why I'm pulling back now is because we've touched on subjects that I don't want to deal with or it's too painful for me to deal with and I really don't think that's the case.
1000013304.txt,a feeling came up that I didn't want to feel so I tried to ignore it even if you were not going to let me.
1000013304.txt,"I just feel like, I guess, I don't have control of myself and my relationship with Cole so as I am telling you all these little arguments and things that go on in our relationship day to day or week to week, it just suddenly feels like."
1000013304.txt,I just feel all these issues or things that we are going through I should have control of.
1000013304.txt,I might feel them for a second so obviously I am suppressing them but it doesn't feel like it.
1000013304.txt,"now I feel like when I write down all these feelings, I am like: ""I don't want to deal with Cole because I just have to sort out what the hell I am feeling before I even, you know."
1000094525.txt,</p> I won't let myself feel that.
1002131938.txt,"Probably I'm afraid of, when you lose control people generally, you know, say well you're very immature, etc."
1002131938.txt,If I get very mad with a girl over at her home I was punished for it consistently and I think maybe now I'm just completely afraid to lose control of myself sort of speak because if I want to yell and scream I won't because I don't want to have to face the consequences of that any more.
1004699961.txt,But I don't know—I guess there's a way in which our jobs are really—I feel like the work he does—he has a little more control over what he does.
1000013338.txt,"and that's what's so important for me to sit down and write this whole, the story of this whole thing up and send it to the store manager, because I was told not to, don't bother the store manager on eight."
1000133995.txt,</p> I've got to get back into the paper and weight it down with something I can handle and go at it again.
1004532420.txt,"And, although um, although Kansas City is not actually a place that we would actually end up being, she sat me down and said, ""No matter how great the offer is, if it's in a place like Kansas City, you have to make sure to turn it down because you're never gonna live, you'll never be able to deal with it""."
1000133994.txt,"</p> I mean that I feel so ambivalently in myself about my parents that this is just another complication which I just, (chuckling) just can't handle, it's just too much."
1000133994.txt,"</p> And if I feel it's the true meaning, has she come to the same realizations and is she willing to deal with them?"
1004532434.txt,I more feel like – I feel more out of control.
1004532434.txt,"Or rather, I feel like I can't control – when I feel something I can't (pause) I don't know, control my response to that, I guess."
1004532434.txt,Although (inaudible at 00:15:51) – I guess I think actually for writing the paper (inaudible) before the other things I more feel out of control in that.
1000094530.txt,") </p> I think - what I think about it, I do want to let myself feel in the big picture."
1000013339.txt,"if I know that I'm feeling terrible and I see a thing and walk right over to the table and get a pencil and paper and see, I'm going to write them all down so that I can deal with them, I can't get past two or three and, or I certainly can't do them all, and, last week's session was like that."
1000013339.txt,"well, 5:00 I go to the bathroom, I mean, as soon as the eyes, as soon as consciousness permits I'm having this dialogue with or going, this problem with this account, this big account, where my management let me down and so forth."
1004687586.txt,But it's just upsetting to me because it's one more area of law that I don't deal with that I now have to write a fucking appeal.
1002131939.txt,"And, in fact, when I think of my childhood I think of being so worried about her because she didn't seem to be able to cope with the situation really."
1004522814.txt,"And yeah, I'm pretty angry that a lot of it could have been avoided and I could have succeeded much more."
1000013305.txt,Maybe you are frustrated because I am not playing the game the way I am supposed to or I am not focusing on the things you would like me to focus on or you cannot get control of what direction I am going in - I don't know.
1004522800.txt,"(Pause)</p> Yes I mean, usually it doesn't really bother me that much, I'm like whatever, I'll redo it, but I don't know, I just felt so, like I couldn't cope with anything going wrong."
1004522800.txt,"[00:26:40]</p> Yes, I really don't agree with him and also I feel like he's my manager he's supposed to deal with difficult situations or blah, blah, blah."
1004522800.txt,"</p> Yes, I mean, also I feel like weirdly ignored, both ignored and not ignored."
1004522800.txt,"Yes we are all stressed and busy, additionally, I am really frustrated if everybody is stressed and busy it doesn't mean that you get to ignore everyone."
1004798897.txt,"</p> Yeah, so just trying to like, I think, manage a picking up in the pace of school and for Todd and I—both of us—feeling tired, it just has been hectic."
1004798897.txt,So I do feel that that's been better and I think it's a little bit more manageable cause I'm only taking the two courses.
